a;b;c;d
0.000245899;0;0.00206125;0.00990099
3.09E-06;0.000447089;0.00233221;0.011205
0.000106245;0.000452701;0.00287754;0.0127833
0.000194859;0.000839048;0.00444329;0.0171256
0.000309871;0.00131143;0.00618106;0.0213669
0.000357559;0.00168703;0.00739256;0.0240988
0.000899501;0.00212044;0.00893093;0.0273847
0.000806814;0.00266559;0.00989781;0.0292829
0.0127481;0.00755537;0.0305462;0.0668094
-0.0608369;0.0461861;0.0848305;0.118511
0.229471;-0.0275556;0.092358;0.156313
-0.197156;0.389664;0.311817;0.253249
0.0934427;-0.446755;0.231083;0.915896
-0.0612309;0.232829;-0.287526;0.181833
0.0712329;-0.0640484;-0.0147499;0.0668094
-0.00924715;0.0222945;-0.0316202;0.0550924
0.0023089;-0.000122806;-0.0137036;0.0392195
-0.00143724;0.00407519;-0.0113082;0.0313832
-0.00128319;0.00233307;-0.00871905;0.0273847
