x,y
-10,0.00990099
-9.84848,-0.24874
-9.69697,-0.187186
-9.54545,-0.0704052
-9.39394,0.011205
-9.24242,0.0448525
-9.09091,0.0449694
-8.93939,0.029825
-8.78788,0.0127833
-8.48485,-0.00441653
-8.18182,0.000232537
-7.87879,0.0106234
-7.57576,0.0171256
-7.37374,0.0189513
-7.17172,0.019784
-6.9697,0.0204452
-6.76768,0.0213669
-6.66667,0.0219574
-6.56566,0.0226212
-6.46465,0.0233407
-6.36364,0.0240988
-6.26263,0.0248834
-6.16162,0.0256895
-6.06061,0.0265199
-5.9596,0.0273847
-5.90909,0.0278347
-5.85859,0.0282995
-5.80808,0.0287814
-5.75758,0.0292829
-5.25253,0.0357533
-4.74747,0.0447225
-4.24242,0.0546418
-3.73737,0.0668094
-3.48485,0.0753584
-3.23232,0.0865034
-2.9798,0.100746
-2.72727,0.118511
-2.62626,0.126741
-2.52525,0.135713
-2.42424,0.145527
-2.32323,0.156313
-2.17172,0.174689
-2.0202,0.196349
-1.86869,0.222188
-1.71717,0.253249
-1.36364,0.352302
-1.0101,0.497924
-0.656566,0.691838
-0.30303,0.915896
0.30303,1.23948
0.909091,1.23585
1.51515,0.788118
2.12121,0.181833
2.52525,-0.0686317
2.92929,-0.111826
3.33333,-0.0179184
3.73737,0.0668094
3.83838,0.0731044
3.93939,0.0725921
4.0404,0.0660939
4.14141,0.0550924
4.34343,0.0279279
4.54545,0.00931132
4.74747,0.0130916
4.94949,0.0392195
5.10101,0.0628529
5.25253,0.075792
5.40404,0.0661077
5.55556,0.0313832
5.65657,0.00167422
5.75758,-0.0206301
5.85859,-0.0187288
5.9596,0.0273847
6.11111,0.215671
6.26263,0.530124
6.41414,0.728139
6.56566,0.0226717
