x,y
-10,0.00990099
-9.84848,0.0102142
-9.69697,0.0105325
-9.54545,0.010861
-9.39394,0.011205
-9.24242,0.0115686
-9.09091,0.0119528
-8.93939,0.0123577
-8.78788,0.0127833
-8.48485,0.0136998
-8.18182,0.0147172
-7.87879,0.0158532
-7.57576,0.0171256
-7.37374,0.0180591
-7.17172,0.0190707
-6.9697,0.0201701
-6.76768,0.0213669
-6.66667,0.0220049
-6.56566,0.0226716
-6.46465,0.023369
-6.36364,0.0240988
-6.26263,0.0248631
-6.16162,0.025664
-6.06061,0.0265038
-5.9596,0.0273847
-5.90909,0.0278412
-5.85859,0.0283093
-5.80808,0.0287896
-5.75758,0.0292829
-5.25253,0.0350656
-4.74747,0.0428319
-4.24242,0.0532052
-3.73737,0.0668094
-3.48485,0.0752101
-3.23232,0.0858062
-2.9798,0.0998294
-2.72727,0.118511
-2.62626,0.127489
-2.52525,0.137032
-2.42424,0.146766
-2.32323,0.156313
-2.17172,0.170473
-2.0202,0.188156
-1.86869,0.214151
-1.71717,0.253249
-1.36364,0.403479
-1.0101,0.598844
-0.656566,0.787073
-0.30303,0.915896
0.30303,0.91265
0.909091,0.706019
1.51515,0.42081
2.12121,0.181833
2.52525,0.0996315
2.92929,0.0692151
3.33333,0.0663518
3.73737,0.0668094
3.83838,0.0647394
3.93939,0.0618029
4.0404,0.0584405
4.14141,0.0550924
4.34343,0.0495382
4.54545,0.0453462
4.74747,0.0420592
4.94949,0.0392195
5.10101,0.0371484
5.25253,0.0351199
5.40404,0.0331821
5.55556,0.0313832
5.65657,0.030281
5.75758,0.0292532
5.85859,0.0282907
5.9596,0.0273847
6.11111,0.0261127
6.26263,0.0249211
6.41414,0.023783
6.56566,0.0226717
